epoch,train_loss,train_acc,val_loss,val_acc
1,1.344873,56.4201,0.875386,69.8028
2,0.849956,82.3202,0.567628,82.2761
3,0.691395,89.9810,0.649627,78.6381
4,0.619098,93.4184,0.411428,87.8598
5,0.567847,96.0297,0.299475,92.4440
6,0.538991,97.2188,0.300679,92.5506
7,0.520332,97.9016,0.281399,93.5101
8,0.503231,98.6510,0.250449,94.5096
9,0.495500,98.8142,0.261354,94.2031
10,0.485591,99.2039,0.228148,95.4424
11,0.480969,99.3838,0.226181,95.4824
12,0.479659,99.3638,0.231583,95.1359
13,0.473634,99.5637,0.222800,95.2425
14,0.470593,99.6436,0.213590,96.0155
15,0.469292,99.6836,0.203037,96.1487
16,0.466249,99.6769,0.195098,96.2687
17,0.464108,99.7569,0.194930,96.5219
18,0.462041,99.7968,0.204219,96.3220
19,0.462003,99.7702,0.182735,96.7084
20,0.464259,99.7369,0.220549,95.6823
21,0.461734,99.7902,0.193423,96.2420
22,0.462302,99.7469,0.188377,96.2820
23,0.460881,99.7569,0.204503,96.1754
24,0.458580,99.8468,0.186190,96.6285
25,0.457858,99.8468,0.188579,96.7751
26,0.457567,99.8435,0.190946,96.5485
27,0.457363,99.8068,0.202600,96.1754
28,0.458457,99.7935,0.193803,96.7484
29,0.458459,99.7835,0.188397,96.7084
30,0.461120,99.7235,0.187981,96.7084
31,0.459927,99.7235,0.193193,96.5352
32,0.458431,99.7435,0.202974,96.2420
33,0.456679,99.8268,0.199761,96.2953
34,0.453428,99.9367,0.185064,96.8550
35,0.453324,99.8934,0.176030,97.1615
36,0.453871,99.8701,0.183185,96.6418
37,0.453538,99.8801,0.186239,96.5485
38,0.452675,99.9067,0.180326,96.8150
39,0.453590,99.8834,0.200253,96.4419
40,0.452173,99.9134,0.183268,97.1215
41,0.452029,99.9301,0.174674,97.1882
42,0.450178,99.9634,0.178997,97.0949
43,0.451944,99.9134,0.172453,97.1882
44,0.451746,99.9167,0.178070,97.0816
45,0.450988,99.9334,0.190809,96.7751
46,0.450068,99.9634,0.166713,97.2148
47,0.450050,99.9500,0.169201,97.4813
48,0.450246,99.9301,0.207964,95.9222
49,0.452149,99.9001,0.174981,97.1882
50,0.450661,99.9134,0.174193,97.1349
51,0.450035,99.9334,0.175804,97.1215
52,0.449190,99.9867,0.162655,97.4947
53,0.448702,99.9734,0.177135,97.1882
54,0.448758,99.9800,0.166555,97.4414
55,0.448385,99.9700,0.185947,96.5485
56,0.448212,99.9867,0.169161,97.3481
57,0.448278,99.9767,0.167166,97.2681
58,0.448150,99.9833,0.169474,97.4014
59,0.447615,99.9967,0.164667,97.5746
60,0.447585,100.0000,0.166029,97.4680
61,0.447584,99.9900,0.164388,97.5213
62,0.447370,99.9967,0.164726,97.5746
63,0.447278,99.9933,0.166138,97.4547
64,0.447157,99.9967,0.164514,97.5480
65,0.447175,100.0000,0.166635,97.5880
66,0.447277,99.9967,0.166711,97.3881
67,0.447126,99.9967,0.168892,97.4547
68,0.447143,99.9900,0.170384,97.3081
69,0.447084,100.0000,0.165688,97.4414
70,0.446982,99.9967,0.164938,97.6679
71,0.446967,99.9933,0.165499,97.5746
72,0.446962,99.9933,0.165630,97.5480
73,0.446957,99.9967,0.163829,97.5880
74,0.446989,99.9967,0.163419,97.4813
75,0.446859,100.0000,0.168626,97.4547
76,0.446864,99.9933,0.167002,97.4680
77,0.446936,99.9933,0.166115,97.4813
78,0.446825,100.0000,0.165650,97.5880
79,0.446929,99.9933,0.165418,97.6546
80,0.446782,99.9967,0.165238,97.5480
81,0.446718,100.0000,0.165092,97.5613
82,0.446680,100.0000,0.165418,97.5480
83,0.446644,100.0000,0.164732,97.4813
84,0.446598,100.0000,0.165000,97.5213
85,0.446618,100.0000,0.162650,97.6279
86,0.446658,99.9967,0.165564,97.5480
87,0.446704,99.9967,0.165716,97.4947
88,0.446616,100.0000,0.163663,97.5213
89,0.446645,99.9967,0.163447,97.5213
90,0.446623,100.0000,0.164038,97.5746
91,0.446614,100.0000,0.163982,97.5613
92,0.446614,100.0000,0.162937,97.5613
93,0.446576,100.0000,0.162637,97.5346
94,0.446568,100.0000,0.163211,97.6013
95,0.446595,100.0000,0.164657,97.5346
96,0.446577,100.0000,0.164654,97.4547
97,0.446571,100.0000,0.165213,97.4813
98,0.446612,99.9967,0.165287,97.4813
99,0.446571,100.0000,0.163056,97.5746
100,0.446555,100.0000,0.163430,97.4547
