epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,70.3271,1.6256,0.49292,0.96901,1.32565,0.00333241,0.00333241,0.00333241
2,132.142,1.38794,0.57345,0.97594,1.18063,0.00644577,0.00644577,0.00644577
3,189.079,1.3046,0.5685,0.98288,1.1382,0.00933914,0.00933914,0.00933914
4,246.688,1.27748,0.60091,0.98457,1.07205,0.00901,0.00901,0.00901
5,304.507,1.20651,0.60105,0.985,1.06049,0.00868,0.00868,0.00868
6,359.53,1.1567,0.61478,0.98684,1.02794,0.00835,0.00835,0.00835
7,415.131,1.12848,0.62921,0.98967,0.97756,0.00802,0.00802,0.00802
8,471.281,1.10365,0.63926,0.9884,0.96114,0.00769,0.00769,0.00769
9,526.635,1.08062,0.64704,0.98882,0.94111,0.00736,0.00736,0.00736
10,584.631,1.05922,0.65001,0.99066,0.94213,0.00703,0.00703,0.00703
11,642.096,1.05102,0.65865,0.99023,0.92407,0.0067,0.0067,0.0067
12,699.679,1.03771,0.66332,0.99066,0.89965,0.00637,0.00637,0.00637
13,756.729,1.01334,0.66502,0.99151,0.89991,0.00604,0.00604,0.00604
14,812.931,1.00551,0.66247,0.99165,0.89464,0.00571,0.00571,0.00571
15,868.765,0.99038,0.66714,0.99137,0.89011,0.00538,0.00538,0.00538
16,923.898,0.97807,0.66969,0.99165,0.88605,0.00505,0.00505,0.00505
17,979.741,0.963,0.67888,0.99292,0.87493,0.00472,0.00472,0.00472
18,1037.11,0.95136,0.67846,0.99363,0.86661,0.00439,0.00439,0.00439
19,1093.97,0.93615,0.68214,0.99222,0.86418,0.00406,0.00406,0.00406
20,1150.42,0.92585,0.68978,0.99321,0.85638,0.00373,0.00373,0.00373
21,1208.57,0.91083,0.69063,0.99292,0.85285,0.0034,0.0034,0.0034
22,1265.61,0.89549,0.69148,0.99292,0.84803,0.00307,0.00307,0.00307
23,1323.24,0.87805,0.69403,0.99377,0.84555,0.00274,0.00274,0.00274
24,1382.17,0.86439,0.6953,0.99321,0.84506,0.00241,0.00241,0.00241
25,1438.71,0.85047,0.69771,0.99307,0.84175,0.00208,0.00208,0.00208
26,1496.36,0.83423,0.69969,0.99363,0.84061,0.00175,0.00175,0.00175
27,1552.77,0.80762,0.69941,0.99363,0.84161,0.00142,0.00142,0.00142
28,1609.69,0.8033,0.70011,0.99349,0.84156,0.00109,0.00109,0.00109
29,1666.71,0.78903,0.70025,0.99335,0.84189,0.00076,0.00076,0.00076
30,1724.83,0.77126,0.70224,0.99321,0.84351,0.00043,0.00043,0.00043
